iter	RMSE
0	4.85067394
1	4.546511274
2	4.285535905
3	4.055951151
4	3.8711101
5	3.661355318
6	3.486286038
7	3.32595195
8	3.169279175
9	3.032503386
10	2.892355068
11	2.764314605
12	2.699476547
13	2.611799682
14	2.504372331
15	2.408132122
16	2.327253225
17	2.264826154
18	2.182051375
19	2.104139387
20	2.032502865
21	1.962031737
22	1.926269492
23	1.868072233
24	1.798501252
25	1.7564197
26	1.710872296
27	1.655913369
28	1.607985873
29	1.569129668
30	1.547630559
31	1.51279902
32	1.469465884
33	1.41614337
34	1.370410768
35	1.346852533
36	1.314864039
37	1.284841344
38	1.247481491
39	1.233286551
40	1.207483152
41	1.16953447
42	1.143453822
43	1.113217019
44	1.096260816
45	1.070469122
46	1.052973322
47	1.036836683
48	1.027922503
49	1.014809319
50	1.001389327
51	0.9795609542
52	0.9667577526
53	0.9524755826
54	0.9290397102
55	0.9151836236
56	0.8930810407
57	0.8786454753
58	0.8726314366
59	0.8612475848
60	0.8412566174
61	0.8237782363
62	0.8120660652
63	0.8049739224
64	0.7843490787
65	0.7655248019
66	0.7563095446
67	0.7485757896
68	0.742750012
69	0.732375032
70	0.7123618125
71	0.7071020605
72	0.6937212728
73	0.677787255
74	0.6710365459
75	0.6606210855
76	0.6562566915
77	0.6538704872
78	0.6502835065
79	0.6457474625
80	0.6413225782
81	0.6377259557
82	0.6248348866
83	0.6147712961
84	0.6118739115
85	0.6081837451
86	0.6039995488
87	0.5973462602
88	0.5877379615
89	0.5818219267
90	0.5803507904
91	0.5750453461
92	0.5619063107
93	0.5552671388
94	0.55407507
95	0.5466023538
96	0.5443094586
97	0.5405460804
98	0.5352738721
99	0.5260198593
