iter	Passed	Remaining
0	1	116
1	1	90
2	2	87
3	3	86
4	4	83
5	5	81
6	6	80
7	6	79
8	7	78
9	8	78
10	9	77
11	10	77
12	11	77
13	12	76
14	13	76
15	14	76
16	15	75
17	16	73
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	25	59
30	26	59
31	27	57
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	48
42	36	47
43	36	47
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	45	38
54	46	37
55	46	36
56	48	36
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	80	7
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	87	1
98	87	0
99	88	0
